Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-02-17,Kenya,0,0,0,0,0,0
2020-02-18,Kenya,0,0,0,0,0,0
2020-02-19,Kenya,0,0,0,0,0,0
2020-02-20,Kenya,0,0,0,0,0,0
2020-02-21,Kenya,0,0,0,0,0,0
2020-02-22,Kenya,0,0,0,0,0,0
2020-02-23,Kenya,0,0,0,0,0,0
2020-02-24,Kenya,0,0,0,0,0,0
2020-02-25,Kenya,0,0,0,0,0,0
2020-02-26,Kenya,0,0,0,0,0,0
2020-02-27,Kenya,0,0,0,0,0,0
2020-02-28,Kenya,0,0,0,0,0,0
2020-02-29,Kenya,0,0,0,0,0,0
2020-03-01,Kenya,0,0,0,0,0,0
2020-03-02,Kenya,0,0,0,0,0,0
2020-03-03,Kenya,0,0,0,0,0,0
2020-03-04,Kenya,0,0,0,0,0,0
2020-03-05,Kenya,0,0,0,0,0,0
2020-03-06,Kenya,0,0,0,0,0,0
2020-03-07,Kenya,0,0,0,0,0,0
2020-03-08,Kenya,0,0,0,0,0,0
2020-03-09,Kenya,0,0,0,0,0,0
2020-03-10,Kenya,0,0,0,0,0,0
2020-03-11,Kenya,0,0,0,0,0,0
2020-03-12,Kenya,0,0,0,0,0,0
2020-03-13,Kenya,1,0,1,0,0,0
2020-03-14,Kenya,1,0,0,0,0,0
2020-03-15,Kenya,3,0,2,0,0,0
2020-03-16,Kenya,3,0,0,0,0,0
2020-03-17,Kenya,3,0,0,0,0,0
2020-03-18,Kenya,3,0,0,0,0,0
2020-03-19,Kenya,7,0,4,0,1,0
2020-03-20,Kenya,7,0,0,0,1,0
2020-03-21,Kenya,7,0,0,0,1,0
2020-03-22,Kenya,15,0,8,0,2,0
2020-03-23,Kenya,16,0,1,0,2,0
2020-03-24,Kenya,25,0,9,0,3,0
2020-03-25,Kenya,28,0,3,0,4,0
2020-03-26,Kenya,31,1,3,1,3,0
2020-03-27,Kenya,31,1,0,0,3,0
2020-03-28,Kenya,38,1,7,0,4,0
2020-03-29,Kenya,42,1,4,0,4,0
2020-03-30,Kenya,50,1,8,0,5,0
2020-03-31,Kenya,59,1,9,0,5,0
2020-04-01,Kenya,81,1,22,0,8,0
2020-04-02,Kenya,110,3,29,2,11,0
2020-04-03,Kenya,122,4,12,1,13,0
2020-04-04,Kenya,126,4,4,0,13,0
2020-04-05,Kenya,142,4,16,0,14,0
2020-04-06,Kenya,158,6,16,2,15,1
2020-04-07,Kenya,172,6,14,0,16,1
2020-04-08,Kenya,179,6,7,0,14,1
2020-04-09,Kenya,184,7,5,1,11,1
2020-04-10,Kenya,189,7,5,0,10,0
2020-04-11,Kenya,191,7,2,0,9,0
2020-04-12,Kenya,197,8,6,1,8,1
2020-04-13,Kenya,208,9,11,1,7,0
2020-04-14,Kenya,216,9,8,0,6,0
2020-04-15,Kenya,225,10,9,1,7,1
2020-04-16,Kenya,234,11,9,1,7,1
2020-04-17,Kenya,246,11,12,0,8,1
2020-04-18,Kenya,262,12,16,1,10,1
2020-04-19,Kenya,270,14,8,2,10,1
2020-04-20,Kenya,281,14,11,0,10,1
2020-04-21,Kenya,296,14,15,0,11,1
2020-04-22,Kenya,303,14,7,0,11,1
2020-04-23,Kenya,320,14,17,0,12,0
2020-04-24,Kenya,336,14,16,0,13,0
2020-04-25,Kenya,343,14,7,0,12,0
2020-04-26,Kenya,355,14,12,0,12,0
2020-04-27,Kenya,363,14,8,0,12,0
2020-04-28,Kenya,374,14,11,0,11,0
2020-04-29,Kenya,384,15,10,1,12,0
2020-04-30,Kenya,396,17,12,2,11,0
2020-05-01,Kenya,411,21,15,4,11,1
2020-05-02,Kenya,435,22,24,1,13,1
2020-05-03,Kenya,465,24,30,2,16,1
2020-05-04,Kenya,490,24,25,0,18,1
2020-05-05,Kenya,535,24,45,0,23,1
2020-05-06,Kenya,582,26,47,2,28,2
2020-05-07,Kenya,607,29,25,3,30,2
2020-05-08,Kenya,621,29,14,0,30,1
2020-05-09,Kenya,649,30,28,1,31,1
2020-05-10,Kenya,672,32,23,2,30,1
2020-05-11,Kenya,700,33,28,1,30,1
2020-05-12,Kenya,715,36,15,3,26,2
2020-05-13,Kenya,737,40,22,4,22,2
2020-05-14,Kenya,758,42,21,2,22,2
2020-05-15,Kenya,781,45,23,3,23,2
2020-05-16,Kenya,830,50,49,5,26,3
2020-05-17,Kenya,887,50,57,0,31,3
2020-05-18,Kenya,912,50,25,0,30,2
2020-05-19,Kenya,963,50,51,0,35,2
2020-05-20,Kenya,1029,50,66,0,42,1
2020-05-21,Kenya,1109,50,80,0,50,1
2020-05-22,Kenya,1161,50,52,0,54,1
2020-05-23,Kenya,1192,50,31,0,52,0
2020-05-24,Kenya,1214,51,22,1,47,0
2020-05-25,Kenya,1286,52,72,1,53,0
2020-05-26,Kenya,1348,52,62,0,55,0
2020-05-27,Kenya,1471,55,123,3,63,1
2020-05-28,Kenya,1618,58,147,3,73,1
2020-05-29,Kenya,1745,62,127,4,83,2
2020-05-30,Kenya,1888,63,143,1,99,2
2020-05-31,Kenya,1962,64,74,1,107,2
2020-06-01,Kenya,2021,69,59,5,105,2
2020-06-02,Kenya,2093,71,72,2,106,3
2020-06-03,Kenya,2216,74,123,3,106,3
2020-06-04,Kenya,2340,78,124,4,103,3
2020-06-05,Kenya,2474,79,134,1,104,2
2020-06-06,Kenya,2600,83,126,4,102,3
2020-06-07,Kenya,2767,84,167,1,115,3
2020-06-08,Kenya,2872,85,105,1,122,2
2020-06-09,Kenya,2989,88,117,3,128,2
2020-06-10,Kenya,3094,89,105,1,125,2
2020-06-11,Kenya,3215,92,121,3,125,2
2020-06-12,Kenya,3305,96,90,4,119,2
2020-06-13,Kenya,3457,100,152,4,122,2
2020-06-14,Kenya,3594,103,137,3,118,3
2020-06-15,Kenya,3727,104,133,1,122,3
2020-06-16,Kenya,3860,105,133,1,124,2
2020-06-17,Kenya,4044,107,184,2,136,3
2020-06-18,Kenya,4257,117,213,10,149,4
2020-06-19,Kenya,4374,119,117,2,153,3
2020-06-20,Kenya,4478,121,104,2,146,3
2020-06-21,Kenya,4738,123,260,2,163,3
2020-06-22,Kenya,4797,125,59,2,153,3
2020-06-23,Kenya,4952,128,155,3,156,3
2020-06-24,Kenya,5206,130,254,2,166,3
2020-06-25,Kenya,5384,132,178,2,161,2
2020-06-26,Kenya,5533,137,149,5,166,3
2020-06-27,Kenya,5811,141,278,4,190,3
2020-06-28,Kenya,6070,143,259,2,190,3
2020-06-29,Kenya,6190,144,120,1,199,3
2020-06-30,Kenya,6366,148,176,4,202,3
2020-07-01,Kenya,6673,149,307,1,210,3
2020-07-02,Kenya,6941,152,268,3,222,3
2020-07-03,Kenya,7188,154,247,2,236,2
2020-07-04,Kenya,7577,159,389,5,252,3
2020-07-05,Kenya,7886,160,309,1,259,2
2020-07-06,Kenya,8067,164,181,4,268,3
2020-07-07,Kenya,8250,167,183,3,269,3
2020-07-08,Kenya,8528,169,278,2,265,3
2020-07-09,Kenya,8975,173,447,4,291,3
2020-07-10,Kenya,9448,181,473,8,323,4
2020-07-11,Kenya,9726,184,278,3,307,4
2020-07-12,Kenya,10105,185,379,1,317,4
2020-07-13,Kenya,10294,197,189,12,318,5
2020-07-14,Kenya,10791,202,497,5,363,5
2020-07-15,Kenya,11252,209,461,7,389,6
2020-07-16,Kenya,11673,217,421,8,385,6
2020-07-17,Kenya,12062,222,389,5,373,6
2020-07-18,Kenya,12750,225,688,3,432,6
2020-07-19,Kenya,13353,234,603,9,464,7
2020-07-20,Kenya,13771,238,418,4,497,6
2020-07-21,Kenya,14168,250,397,12,482,7
2020-07-22,Kenya,14805,260,637,10,508,7
2020-07-23,Kenya,15601,263,796,3,561,7
2020-07-24,Kenya,16268,274,667,11,601,7
2020-07-25,Kenya,16643,278,375,4,556,8
2020-07-26,Kenya,17603,280,960,2,607,7
2020-07-27,Kenya,17975,285,372,5,601,7
2020-07-28,Kenya,18581,299,606,14,630,7
2020-07-29,Kenya,19125,311,544,12,617,7
2020-07-30,Kenya,19913,325,788,14,616,9
2020-07-31,Kenya,20636,341,723,16,624,10
2020-08-01,Kenya,21363,364,727,23,674,12
2020-08-02,Kenya,22053,369,690,5,636,13
2020-08-03,Kenya,22597,382,544,13,660,14
2020-08-04,Kenya,23202,388,605,6,660,13
2020-08-05,Kenya,23873,391,671,3,678,11
2020-08-06,Kenya,24411,399,538,8,643,11
2020-08-07,Kenya,25138,413,727,14,643,10
2020-08-08,Kenya,25837,418,699,5,639,8
2020-08-09,Kenya,26436,420,599,2,626,7
2020-08-10,Kenya,26928,423,492,3,619,6
2020-08-11,Kenya,27425,438,497,15,603,7
2020-08-12,Kenya,28104,456,679,18,604,9
2020-08-13,Kenya,28754,460,650,4,620,9
2020-08-14,Kenya,29334,465,580,5,599,7
2020-08-15,Kenya,29849,472,515,7,573,8
2020-08-16,Kenya,30120,474,271,2,526,8
2020-08-17,Kenya,30365,482,245,8,491,8
2020-08-18,Kenya,30636,487,271,5,459,7
2020-08-19,Kenya,31015,506,379,19,416,7
2020-08-20,Kenya,31441,516,426,10,384,8
2020-08-21,Kenya,31763,532,322,16,347,10
2020-08-22,Kenya,32118,542,355,10,324,10
2020-08-23,Kenya,32364,548,246,6,321,11
2020-08-24,Kenya,32557,554,193,6,313,10
2020-08-25,Kenya,32803,559,246,5,310,10
2020-08-26,Kenya,33016,564,213,5,286,8
2020-08-27,Kenya,33389,567,373,3,278,7
2020-08-28,Kenya,33630,567,241,0,267,5
2020-08-29,Kenya,33794,572,164,5,239,4
2020-08-30,Kenya,34057,574,263,2,242,4
2020-08-31,Kenya,34201,577,144,3,235,3
2020-09-01,Kenya,34315,577,114,0,216,3
2020-09-02,Kenya,34493,581,178,4,211,2
2020-09-03,Kenya,34705,585,212,4,188,3
2020-09-04,Kenya,34884,589,179,4,179,3
2020-09-05,Kenya,35020,594,136,5,175,3
2020-09-06,Kenya,35103,597,83,3,149,3
2020-09-07,Kenya,35205,599,102,2,143,3
2020-09-08,Kenya,35356,599,151,0,149,3
2020-09-09,Kenya,35460,607,104,8,138,4
2020-09-10,Kenya,35603,612,143,5,128,4
2020-09-11,Kenya,35793,616,190,4,130,4
2020-09-12,Kenya,35969,619,176,3,136,4
2020-09-13,Kenya,36157,622,188,3,151,4
2020-09-14,Kenya,36205,624,48,2,143,4
2020-09-15,Kenya,36301,634,96,10,135,5
2020-09-16,Kenya,36301,634,0,0,120,4
2020-09-17,Kenya,36576,642,275,8,139,4
2020-09-18,Kenya,36724,646,148,4,133,4
2020-09-19,Kenya,36829,646,105,0,123,4
2020-09-20,Kenya,36981,648,152,2,118,4
2020-09-21,Kenya,37079,650,98,2,125,4
2020-09-22,Kenya,37218,659,139,9,131,4
2020-09-23,Kenya,37348,664,130,5,150,4
2020-09-24,Kenya,37489,669,141,5,130,4
2020-09-25,Kenya,37707,682,218,13,140,5
2020-09-26,Kenya,37871,689,164,7,149,6
2020-09-27,Kenya,38115,691,244,2,162,6
2020-09-28,Kenya,38168,700,53,9,156,7
2020-09-29,Kenya,38378,707,210,7,166,7
2020-09-30,Kenya,38529,711,151,4,169,7
2020-10-01,Kenya,38713,711,184,0,175,6
2020-10-02,Kenya,38923,725,210,14,174,6
2020-10-03,Kenya,39184,728,261,3,188,6
2020-10-04,Kenya,39427,731,243,3,187,6
2020-10-05,Kenya,39449,735,22,4,183,5
2020-10-06,Kenya,39586,743,137,8,173,5
2020-10-07,Kenya,39907,748,321,5,197,5
2020-10-08,Kenya,40178,751,271,3,209,6
2020-10-09,Kenya,40620,755,442,4,242,4
2020-10-10,Kenya,41158,760,538,5,282,5
2020-10-11,Kenya,41546,766,388,6,303,5
2020-10-12,Kenya,41619,777,73,11,310,6
2020-10-13,Kenya,41937,787,318,10,336,6
2020-10-14,Kenya,42541,797,604,10,376,7
2020-10-15,Kenya,43143,805,602,8,424,8
2020-10-16,Kenya,43580,813,437,8,423,8
2020-10-17,Kenya,44196,825,616,12,434,9
2020-10-18,Kenya,44881,832,685,7,476,9
2020-10-19,Kenya,45076,839,195,7,494,9
2020-10-20,Kenya,45647,842,571,3,530,8
2020-10-21,Kenya,46144,858,497,16,515,9
2020-10-22,Kenya,47212,870,1068,12,581,9
2020-10-23,Kenya,47843,884,631,14,609,10
2020-10-24,Kenya,48790,896,947,12,656,10
2020-10-25,Kenya,49721,902,931,6,691,10
2020-10-26,Kenya,49997,920,276,18,703,12
2020-10-27,Kenya,50833,934,836,14,741,13
2020-10-28,Kenya,51851,934,1018,0,815,11
2020-10-29,Kenya,52612,964,761,30,771,13
2020-10-30,Kenya,53797,981,1185,17,851,14
2020-10-31,Kenya,55192,981,1395,0,915,12
2020-11-01,Kenya,55877,1013,685,32,879,16
2020-11-02,Kenya,56601,1027,724,14,943,15
2020-11-03,Kenya,57093,1039,492,12,894,15
2020-11-04,Kenya,58587,1051,1494,12,962,17
2020-11-05,Kenya,59595,1072,1008,21,998,15
2020-11-06,Kenya,60704,1093,1109,21,987,16
2020-11-07,Kenya,61769,1103,1065,10,940,17
2020-11-08,Kenya,62488,1111,719,8,944,14
2020-11-09,Kenya,63244,1130,756,19,949,15
2020-11-10,Kenya,64588,1154,1344,24,1071,16
2020-11-11,Kenya,65804,1180,1216,26,1031,18
2020-11-12,Kenya,66723,1203,919,23,1018,19
2020-11-13,Kenya,68193,1228,1470,25,1070,19
2020-11-14,Kenya,69273,1228,1080,0,1072,18
2020-11-15,Kenya,70245,1269,972,41,1108,23
2020-11-16,Kenya,70804,1287,559,18,1080,22
2020-11-17,Kenya,71729,1302,925,15,1020,21
2020-11-18,Kenya,72686,1313,957,11,983,19
2020-11-19,Kenya,74145,1330,1459,17,1060,18
2020-11-20,Kenya,75193,1349,1048,19,1000,17
2020-11-21,Kenya,76404,1366,1211,17,1019,20
2020-11-22,Kenya,77372,1380,968,14,1018,16
2020-11-23,Kenya,77785,1392,413,12,997,15
2020-11-24,Kenya,78512,1409,727,17,969,15
2020-11-25,Kenya,79322,1417,810,8,948,15
2020-11-26,Kenya,80102,1427,780,10,851,14
2020-11-27,Kenya,81656,1441,1554,14,923,13
2020-11-28,Kenya,82605,1445,949,4,886,11
2020-11-29,Kenya,83316,1452,711,7,849,10
