Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Kazakhstan,0,0,0,0,0,0
2020-01-23,Kazakhstan,0,0,0,0,0,0
2020-01-24,Kazakhstan,0,0,0,0,0,0
2020-01-25,Kazakhstan,0,0,0,0,0,0
2020-01-26,Kazakhstan,0,0,0,0,0,0
2020-01-27,Kazakhstan,0,0,0,0,0,0
2020-01-28,Kazakhstan,0,0,0,0,0,0
2020-01-29,Kazakhstan,0,0,0,0,0,0
2020-01-30,Kazakhstan,0,0,0,0,0,0
2020-01-31,Kazakhstan,0,0,0,0,0,0
2020-02-01,Kazakhstan,0,0,0,0,0,0
2020-02-02,Kazakhstan,0,0,0,0,0,0
2020-02-03,Kazakhstan,0,0,0,0,0,0
2020-02-04,Kazakhstan,0,0,0,0,0,0
2020-02-05,Kazakhstan,0,0,0,0,0,0
2020-02-06,Kazakhstan,0,0,0,0,0,0
2020-02-07,Kazakhstan,0,0,0,0,0,0
2020-02-08,Kazakhstan,0,0,0,0,0,0
2020-02-09,Kazakhstan,0,0,0,0,0,0
2020-02-10,Kazakhstan,0,0,0,0,0,0
2020-02-11,Kazakhstan,0,0,0,0,0,0
2020-02-12,Kazakhstan,0,0,0,0,0,0
2020-02-13,Kazakhstan,0,0,0,0,0,0
2020-02-14,Kazakhstan,0,0,0,0,0,0
2020-02-15,Kazakhstan,0,0,0,0,0,0
2020-02-16,Kazakhstan,0,0,0,0,0,0
2020-02-17,Kazakhstan,0,0,0,0,0,0
2020-02-18,Kazakhstan,0,0,0,0,0,0
2020-02-19,Kazakhstan,0,0,0,0,0,0
2020-02-20,Kazakhstan,0,0,0,0,0,0
2020-02-21,Kazakhstan,0,0,0,0,0,0
2020-02-22,Kazakhstan,0,0,0,0,0,0
2020-02-23,Kazakhstan,0,0,0,0,0,0
2020-02-24,Kazakhstan,0,0,0,0,0,0
2020-02-25,Kazakhstan,0,0,0,0,0,0
2020-02-26,Kazakhstan,0,0,0,0,0,0
2020-02-27,Kazakhstan,0,0,0,0,0,0
2020-02-28,Kazakhstan,0,0,0,0,0,0
2020-02-29,Kazakhstan,0,0,0,0,0,0
2020-03-01,Kazakhstan,0,0,0,0,0,0
2020-03-02,Kazakhstan,0,0,0,0,0,0
2020-03-03,Kazakhstan,0,0,0,0,0,0
2020-03-04,Kazakhstan,0,0,0,0,0,0
2020-03-05,Kazakhstan,0,0,0,0,0,0
2020-03-06,Kazakhstan,0,0,0,0,0,0
2020-03-07,Kazakhstan,0,0,0,0,0,0
2020-03-08,Kazakhstan,0,0,0,0,0,0
2020-03-09,Kazakhstan,0,0,0,0,0,0
2020-03-10,Kazakhstan,0,0,0,0,0,0
2020-03-11,Kazakhstan,0,0,0,0,0,0
2020-03-12,Kazakhstan,0,0,0,0,0,0
2020-03-13,Kazakhstan,4,0,4,0,1,0
2020-03-14,Kazakhstan,6,0,2,0,1,0
2020-03-15,Kazakhstan,9,0,3,0,1,0
2020-03-16,Kazakhstan,10,0,1,0,1,0
2020-03-17,Kazakhstan,33,0,23,0,5,0
2020-03-18,Kazakhstan,35,0,2,0,5,0
2020-03-19,Kazakhstan,44,0,9,0,6,0
2020-03-20,Kazakhstan,49,0,5,0,6,0
