Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Cambodia,0,0,0,0,0,0
2020-01-23,Cambodia,0,0,0,0,0,0
2020-01-24,Cambodia,0,0,0,0,0,0
2020-01-25,Cambodia,0,0,0,0,0,0
2020-01-26,Cambodia,0,0,0,0,0,0
2020-01-27,Cambodia,1,0,1,0,0,0
2020-01-28,Cambodia,1,0,0,0,0,0
2020-01-29,Cambodia,1,0,0,0,0,0
2020-01-30,Cambodia,1,0,0,0,0,0
2020-01-31,Cambodia,1,0,0,0,0,0
2020-02-01,Cambodia,1,0,0,0,0,0
2020-02-02,Cambodia,1,0,0,0,0,0
2020-02-03,Cambodia,1,0,0,0,0,0
2020-02-04,Cambodia,1,0,0,0,0,0
2020-02-05,Cambodia,1,0,0,0,0,0
2020-02-06,Cambodia,1,0,0,0,0,0
2020-02-07,Cambodia,1,0,0,0,0,0
2020-02-08,Cambodia,1,0,0,0,0,0
2020-02-09,Cambodia,1,0,0,0,0,0
2020-02-10,Cambodia,1,0,0,0,0,0
2020-02-11,Cambodia,1,0,0,0,0,0
2020-02-12,Cambodia,1,0,0,0,0,0
2020-02-13,Cambodia,1,0,0,0,0,0
2020-02-14,Cambodia,1,0,0,0,0,0
2020-02-15,Cambodia,1,0,0,0,0,0
2020-02-16,Cambodia,1,0,0,0,0,0
2020-02-17,Cambodia,1,0,0,0,0,0
2020-02-18,Cambodia,1,0,0,0,0,0
2020-02-19,Cambodia,1,0,0,0,0,0
2020-02-20,Cambodia,1,0,0,0,0,0
2020-02-21,Cambodia,1,0,0,0,0,0
2020-02-22,Cambodia,1,0,0,0,0,0
2020-02-23,Cambodia,1,0,0,0,0,0
2020-02-24,Cambodia,1,0,0,0,0,0
2020-02-25,Cambodia,1,0,0,0,0,0
2020-02-26,Cambodia,1,0,0,0,0,0
2020-02-27,Cambodia,1,0,0,0,0,0
2020-02-28,Cambodia,1,0,0,0,0,0
2020-02-29,Cambodia,1,0,0,0,0,0
2020-03-01,Cambodia,1,0,0,0,0,0
2020-03-02,Cambodia,1,0,0,0,0,0
2020-03-03,Cambodia,1,0,0,0,0,0
2020-03-04,Cambodia,1,0,0,0,0,0
2020-03-05,Cambodia,1,0,0,0,0,0
2020-03-06,Cambodia,1,0,0,0,0,0
2020-03-07,Cambodia,1,0,0,0,0,0
2020-03-08,Cambodia,2,0,1,0,0,0
2020-03-09,Cambodia,2,0,0,0,0,0
2020-03-10,Cambodia,2,0,0,0,0,0
2020-03-11,Cambodia,3,0,1,0,0,0
2020-03-12,Cambodia,3,0,0,0,0,0
2020-03-13,Cambodia,5,0,2,0,1,0
2020-03-14,Cambodia,7,0,2,0,1,0
2020-03-15,Cambodia,7,0,0,0,1,0
2020-03-16,Cambodia,7,0,0,0,1,0
2020-03-17,Cambodia,33,0,26,0,4,0
2020-03-18,Cambodia,35,0,2,0,5,0
2020-03-19,Cambodia,37,0,2,0,5,0
2020-03-20,Cambodia,51,0,14,0,7,0
2020-03-21,Cambodia,53,0,2,0,7,0
2020-03-22,Cambodia,84,0,31,0,11,0
2020-03-23,Cambodia,87,0,3,0,11,0
2020-03-24,Cambodia,91,0,4,0,8,0
2020-03-25,Cambodia,96,0,5,0,9,0
2020-03-26,Cambodia,96,0,0,0,8,0
2020-03-27,Cambodia,99,0,3,0,7,0
2020-03-28,Cambodia,99,0,0,0,7,0
2020-03-29,Cambodia,103,0,4,0,3,0
2020-03-30,Cambodia,107,0,4,0,3,0
2020-03-31,Cambodia,109,0,2,0,3,0
2020-04-01,Cambodia,109,0,0,0,2,0
2020-04-02,Cambodia,110,0,1,0,2,0
2020-04-03,Cambodia,114,0,4,0,2,0
2020-04-04,Cambodia,114,0,0,0,2,0
2020-04-05,Cambodia,114,0,0,0,2,0
2020-04-06,Cambodia,114,0,0,0,1,0
2020-04-07,Cambodia,115,0,1,0,1,0
2020-04-08,Cambodia,117,0,2,0,1,0
2020-04-09,Cambodia,119,0,2,0,1,0
2020-04-10,Cambodia,119,0,0,0,1,0
2020-04-11,Cambodia,120,0,1,0,1,0
2020-04-12,Cambodia,122,0,2,0,1,0
2020-04-13,Cambodia,122,0,0,0,1,0
2020-04-14,Cambodia,122,0,0,0,1,0
2020-04-15,Cambodia,122,0,0,0,1,0
2020-04-16,Cambodia,122,0,0,0,0,0
2020-04-17,Cambodia,122,0,0,0,0,0
2020-04-18,Cambodia,122,0,0,0,0,0
