Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Bangladesh,0,0,0,0,0,0
2020-01-23,Bangladesh,0,0,0,0,0,0
2020-01-24,Bangladesh,0,0,0,0,0,0
2020-01-25,Bangladesh,0,0,0,0,0,0
2020-01-26,Bangladesh,0,0,0,0,0,0
2020-01-27,Bangladesh,0,0,0,0,0,0
2020-01-28,Bangladesh,0,0,0,0,0,0
2020-01-29,Bangladesh,0,0,0,0,0,0
2020-01-30,Bangladesh,0,0,0,0,0,0
2020-01-31,Bangladesh,0,0,0,0,0,0
2020-02-01,Bangladesh,0,0,0,0,0,0
2020-02-02,Bangladesh,0,0,0,0,0,0
2020-02-03,Bangladesh,0,0,0,0,0,0
2020-02-04,Bangladesh,0,0,0,0,0,0
2020-02-05,Bangladesh,0,0,0,0,0,0
2020-02-06,Bangladesh,0,0,0,0,0,0
2020-02-07,Bangladesh,0,0,0,0,0,0
2020-02-08,Bangladesh,0,0,0,0,0,0
2020-02-09,Bangladesh,0,0,0,0,0,0
2020-02-10,Bangladesh,0,0,0,0,0,0
2020-02-11,Bangladesh,0,0,0,0,0,0
2020-02-12,Bangladesh,0,0,0,0,0,0
2020-02-13,Bangladesh,0,0,0,0,0,0
2020-02-14,Bangladesh,0,0,0,0,0,0
2020-02-15,Bangladesh,0,0,0,0,0,0
2020-02-16,Bangladesh,0,0,0,0,0,0
2020-02-17,Bangladesh,0,0,0,0,0,0
2020-02-18,Bangladesh,0,0,0,0,0,0
2020-02-19,Bangladesh,0,0,0,0,0,0
2020-02-20,Bangladesh,0,0,0,0,0,0
2020-02-21,Bangladesh,0,0,0,0,0,0
2020-02-22,Bangladesh,0,0,0,0,0,0
