Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Thailand,4,0,0,0,0,0
2020-01-23,Thailand,4,0,0,0,0,0
2020-01-24,Thailand,5,0,1,0,0,0
2020-01-25,Thailand,6,0,1,0,0,0
2020-01-26,Thailand,8,0,2,0,0,0
2020-01-27,Thailand,8,0,0,0,0,0
2020-01-28,Thailand,14,0,6,0,1,0
2020-01-29,Thailand,14,0,0,0,1,0
2020-01-30,Thailand,14,0,0,0,1,0
2020-01-31,Thailand,19,0,5,0,2,0
2020-02-01,Thailand,19,0,0,0,2,0
2020-02-02,Thailand,19,0,0,0,2,0
2020-02-03,Thailand,19,0,0,0,2,0
2020-02-04,Thailand,25,0,6,0,2,0
2020-02-05,Thailand,25,0,0,0,2,0
2020-02-06,Thailand,25,0,0,0,2,0
2020-02-07,Thailand,25,0,0,0,1,0
2020-02-08,Thailand,32,0,7,0,2,0
2020-02-09,Thailand,32,0,0,0,2,0
2020-02-10,Thailand,32,0,0,0,2,0
2020-02-11,Thailand,33,0,1,0,1,0
2020-02-12,Thailand,33,0,0,0,1,0
2020-02-13,Thailand,33,0,0,0,1,0
2020-02-14,Thailand,33,0,0,0,1,0
2020-02-15,Thailand,34,0,1,0,0,0
2020-02-16,Thailand,34,0,0,0,0,0
2020-02-17,Thailand,35,0,1,0,0,0
2020-02-18,Thailand,35,0,0,0,0,0
2020-02-19,Thailand,35,0,0,0,0,0
2020-02-20,Thailand,35,0,0,0,0,0
2020-02-21,Thailand,35,0,0,0,0,0
2020-02-22,Thailand,35,0,0,0,0,0
2020-02-23,Thailand,35,0,0,0,0,0
2020-02-24,Thailand,35,0,0,0,0,0
2020-02-25,Thailand,37,0,2,0,0,0
2020-02-26,Thailand,40,0,3,0,1,0
2020-02-27,Thailand,40,0,0,0,1,0
2020-02-28,Thailand,41,0,1,0,1,0
2020-02-29,Thailand,42,0,1,0,1,0
2020-03-01,Thailand,42,1,0,1,1,0
2020-03-02,Thailand,43,1,1,0,1,0
2020-03-03,Thailand,43,1,0,0,1,0
2020-03-04,Thailand,43,1,0,0,0,0
2020-03-05,Thailand,47,1,4,0,1,0
2020-03-06,Thailand,48,1,1,0,1,0
2020-03-07,Thailand,50,1,2,0,1,0
2020-03-08,Thailand,50,1,0,0,1,0
2020-03-09,Thailand,50,1,0,0,1,0
2020-03-10,Thailand,53,1,3,0,1,0
2020-03-11,Thailand,59,1,6,0,2,0
2020-03-12,Thailand,70,1,11,0,3,0
2020-03-13,Thailand,75,1,5,0,4,0
2020-03-14,Thailand,82,1,7,0,5,0
2020-03-15,Thailand,114,1,32,0,9,0
2020-03-16,Thailand,147,1,33,0,14,0
2020-03-17,Thailand,177,1,30,0,18,0
2020-03-18,Thailand,212,1,35,0,22,0
2020-03-19,Thailand,272,1,60,0,29,0
2020-03-20,Thailand,322,1,50,0,35,0
2020-03-21,Thailand,411,1,89,0,47,0
2020-03-22,Thailand,599,1,188,0,69,0
2020-03-23,Thailand,721,1,122,0,82,0
2020-03-24,Thailand,827,4,106,3,93,0
2020-03-25,Thailand,934,4,107,0,103,0
2020-03-26,Thailand,1045,4,111,0,110,0
2020-03-27,Thailand,1136,5,91,1,116,1
2020-03-28,Thailand,1245,6,109,1,119,1
